Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-NOV-2016,8288.9,8699.9,8194.25,8660.15,516583966.0,20859.44
10-NOV-2016,8789.45,8843.7,8747.45,8763.55,460201755.0,17439.96
11-NOV-2016,8688.1,8691.85,8502.2,8518.45,430215243.0,16955.56
15-NOV-2016,8508.35,8510.95,8281.05,8296.05,535037224.0,22804.04
16-NOV-2016,8397.45,8405.3,8283.2,8309.0,418717257.0,18070.35
17-NOV-2016,8305.5,8353.25,8260.8,8281.95,305651417.0,11843.35
18-NOV-2016,8300.3,8332.5,8250.3,8283.3,279679962.0,10963.93
21-NOV-2016,8312.65,8312.65,8112.1,8124.6,342209038.0,12193.38
22-NOV-2016,8185.6,8225.55,8132.8,8208.35,334488445.0,12027.57
23-NOV-2016,8260.3,8265.9,8183.6,8253.65,297828757.0,11605.13
24-NOV-2016,8231.45,8249.25,8174.3,8194.6,424510115.0,16248.26
25-NOV-2016,8237.1,8351.45,8205.6,8344.05,288946776.0,11879.8
28-NOV-2016,8314.5,8383.8,8299.75,8365.1,298282446.0,11597.0
29-NOV-2016,8372.0,8435.9,8367.05,8379.55,292510517.0,11492.24
30-NOV-2016,8409.75,8475.75,8379.05,8466.4,415806462.0,22080.9
01-DEC-2016,8486.6,8491.9,8418.3,8425.9,249388676.0,10347.14
02-DEC-2016,8382.85,8390.3,8298.8,8316.35,274435719.0,10689.5
05-DEC-2016,8319.6,8378.25,8293.65,8365.0,208064098.0,8580.97
06-DEC-2016,8391.0,8416.7,8370.35,8380.9,189234998.0,7517.15
07-DEC-2016,8408.3,8426.25,8315.6,8344.3,254616943.0,10224.46
08-DEC-2016,8397.4,8501.1,8395.75,8493.4,239645412.0,10051.85
09-DEC-2016,8517.35,8517.7,8485.1,8501.7,243927162.0,9248.97
12-DEC-2016,8475.1,8475.1,8389.65,8406.35,191590812.0,7123.91
13-DEC-2016,8427.85,8450.35,8387.4,8443.7,270931094.0,11599.61
14-DEC-2016,8453.4,8453.4,8384.7,8397.3,233074218.0,9737.38
15-DEC-2016,8341.15,8444.85,8335.15,8370.25,260443173.0,10922.62
16-DEC-2016,8394.15,8394.7,8341.35,8355.75,281486636.0,12209.59
